,unclassified,Proteobacteria,Acidobacteria,Actinobacteria,Planctomycetes,Verrucomicrobia,Gemmatimonadetes,Bacteroidetes,Chloroflexi,Firmicutes,Nitrospira,Armatimonadetes,Chlamydiae,WS3,OD1,BRC1,Deinococcus-Thermus,Fusobacteria,OP11,TM7,Chlorobi,Spirochaetes
HI_20_11a,138,273,125,23,37,44,1,8,15,6,15,5,1,2,1,1,0,0,0,0,0,0
HI_20_12a,215,483,293,150,94,54,3,11,3,0,0,0,3,2,0,0,0,0,0,0,0,0
HI_20_13a,104,462,198,168,86,31,0,3,6,7,0,2,0,0,0,0,0,0,0,0,0,0
HI_20_14a,83,475,251,69,115,33,11,17,46,6,2,2,3,0,0,0,0,0,0,0,0,0
HI_20_15a,72,314,271,61,98,71,7,14,8,31,0,1,7,0,0,0,0,0,0,0,0,0
HI_20_16a,65,455,226,64,62,44,8,35,37,6,7,4,4,2,0,2,0,0,0,0,0,0
HI_20_17a,154,583,304,92,54,36,11,13,33,4,2,2,4,2,0,0,0,0,0,0,0,0
HI_20_18a,114,557,281,75,70,63,12,8,27,3,7,1,0,3,0,0,0,0,0,0,0,0
HI_20_21a,132,454,330,100,87,37,3,1,5,6,0,2,6,0,0,0,0,0,0,0,0,0
HI_20_22a,99,363,174,44,36,32,2,22,21,8,10,4,3,4,0,2,0,0,0,0,0,0
HI_20_23a,165,408,257,68,70,50,4,4,9,11,0,3,4,1,0,0,0,0,0,0,0,0
HI_20_24a,150,523,282,87,74,21,3,11,10,1,1,3,2,0,1,0,0,0,0,0,0,0
HI_20_25a,147,408,205,124,57,29,2,3,1,6,0,2,2,0,0,0,0,0,0,0,0,0
HI_20_26a,120,420,178,51,30,28,9,11,28,1,5,2,1,0,1,0,0,0,0,0,0,0
HI_20_27a,180,520,238,70,59,32,5,8,16,6,5,6,4,1,1,0,0,0,0,0,0,0
HI_20_28a,114,292,169,18,58,48,2,13,26,10,5,4,1,10,0,0,0,0,0,0,0,0
HI_20_31a,109,357,221,45,50,30,7,13,36,4,15,4,3,1,1,1,0,0,0,0,0,0
HI_20_31a_1,72,338,174,65,44,13,5,3,42,6,4,5,3,0,0,0,0,0,0,0,0,0
HI_20_31a_2,158,357,250,35,74,43,3,17,25,5,14,4,2,4,0,4,0,0,0,0,0,0
HI_20_31a_3,242,233,183,45,39,47,3,6,45,6,2,0,1,0,0,0,0,0,0,0,0,1
HI_20_32a_1,84,480,291,95,101,57,1,20,3,1,0,2,0,0,0,0,0,0,0,0,0,0
HI_20_32a_2,96,372,207,78,80,40,2,6,2,2,0,4,2,0,0,0,0,0,0,0,0,0
HI_20_32a_3,83,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HI_20_33a,33,237,176,38,49,16,1,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0
HI_20_33a_1,87,349,387,47,58,39,4,21,23,5,0,4,3,0,0,0,0,0,0,0,0,0
