"BR"	"CH"	"CL"	"DE"	"GR"	"HO"	"IW"	"LA"	"LT"	"MI"	"RC"	"SA"	"TR"	"TW"
"BR"	0	324456.959653833	350902.18912399	257219.694606802	241668.91559303	331846.476079539	15838.7839287916	6196.23061644304	20783.7733367644	260626.5814374	331135.354779144	310575.100523226	13711.834009491	322084.823503771
"CH"	324456.959653833	0	95056.058436135	70908.7460643206	122588.256085715	63194.7595272528	337018.395764791	325156.022829293	340094.974166464	66909.0390362513	92062.9490131659	36285.3018120142	338067.231939002	2757.90117357892
"CL"	350902.18912399	95056.058436135	0	110202.034826675	110310.862832779	33248.7837838741	365553.828772081	349919.617133784	369566.766745287	109018.677199774	20037.0378681453	67928.7508465708	363591.952684206	94043.5860669867
"DE"	257219.694606802	70908.7460643206	110202.034826675	0	63202.6255243897	81667.2727247576	270510.378539984	257452.679693057	273912.294349678	4123.56191765069	94683.1566715543	53926.2924081414	270665.840641042	68237.6051132184
"GR"	241668.91559303	122588.256085715	110310.862832779	63202.6255243897	0	97684.1971322522	256628.941356603	240387.846361657	260819.068045205	66650.9234841852	90297.2222656904	91220.5527736797	254092.935873022	119860.43669485
"HO"	331846.476079539	63194.7595272528	33248.7837838741	81667.2727247576	97684.1971322522	0	345986.553142756	331358.986890984	349751.650933065	79812.6440650371	29663.4636388626	34822.493374831	344905.802309748	61889.9500235432
"IW"	15838.7839287916	337018.395764791	365553.828772081	270510.378539984	256628.941356603	345986.553142756	0	19862.7865622974	5106.537499539	273839.517532617	345845.893434742	324071.719060491	11592.7877082806	334688.35766977
"LA"	6196.23061644304	325156.022829293	349919.617133784	257452.679693057	240387.846361657	331358.986890984	19862.7865622974	0	24968.223442152	260914.122719054	330097.046173879	310623.747775079	13711.834009491	322757.536284764
"LT"	20783.7733367644	340094.974166464	369566.766745287	273912.294349678	260819.068045205	349751.650933065	5106.537499539	24968.223442152	0	277207.126299691	349891.337856687	327548.736969637	15809.584112806	337782.907407797
"MI"	260626.5814374	66909.0390362513	109018.677199774	4123.56191765069	66650.9234841852	79812.6440650371	273839.517532617	260914.122719054	277207.126299691	0	94012.5776149665	51025.8363911336	274095.55440636	64248.6110851133
"RC"	331135.354779144	92062.9490131659	20037.0378681453	94683.1566715543	90297.2222656904	29663.4636388626	345845.893434742	330097.046173879	349891.337856687	94012.5776149665	0	59820.9030260078	343777.746276748	90530.566040295
"SA"	310575.100523226	36285.3018120142	67928.7508465708	53926.2924081414	91220.5527736797	34822.493374831	324071.719060491	310623.747775079	327548.736969637	51025.8363911336	59820.9030260078	0	323940.839395942	34033.0019325033
"TR"	13711.834009491	338067.231939002	363591.952684206	270665.840641042	254092.935873022	344905.802309748	11592.7877082806	13711.834009491	15809.584112806	274095.55440636	343777.746276748	323940.839395942	0	335687.899600752
"TW"	322084.823503771	2757.90117357892	94043.5860669867	68237.6051132184	119860.43669485	61889.9500235432	334688.35766977	322757.536284764	337782.907407797	64248.6110851133	90530.566040295	34033.0019325033	335687.899600752	0
