"BR"	"CH"	"CL"	"DE"	"GR"	"HO"	"IW"	"LA"	"LT"	"MI"	"RC"	"SA"	"TR"	"TW"
"OTU1 "	11	7	4	4	4	4	0	7	15	10	8	20	13	4
"OTU2 "	4	0	1	1	0	11	21	1	7	5	11	9	9	3
"OTU3 "	31	27	21	5	27	2	0	21	22	6	13	6	18	17
"OTU4 "	1	0	0	0	0	2	7	1	0	0	0	0	0	0
"OTU5 "	5	7	2	3	8	0	1	7	9	5	1	2	12	0
"OTU6 "	3	2	0	0	1	0	5	0	0	0	0	0	0	1
"OTU7 "	1	0	0	0	0	2	3	0	0	0	0	0	0	0
"OTU8 "	0	0	1	0	2	0	0	2	9	0	1	3	2	1
"OTU9 "	0	0	0	0	0	0	0	1	1	0	1	0	1	0
"OTU10 "	0	0	0	0	0	2	0	0	0	0	0	1	0	0
"OTU11 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU12 "	0	0	1	2	0	0	2	0	0	1	1	1	0	3
"OTU13 "	0	0	2	0	0	0	0	0	0	3	0	0	3	0
"OTU14 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU15 "	0	1	2	0	1	0	0	3	3	0	3	2	1	3
"OTU16 "	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU17 "	0	1	0	0	0	0	0	2	0	0	0	1	0	0
"OTU18 "	0	0	5	0	4	0	0	1	0	0	0	0	0	1
"OTU19 "	2	0	0	0	1	0	0	0	0	1	2	2	0	0
"OTU20 "	1	0	0	0	0	0	0	0	1	0	0	0	2	0
"OTU21 "	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU22 "	3	0	0	0	3	1	0	2	0	1	0	0	0	1
"OTU23 "	1	0	0	0	0	0	0	0	2	0	0	0	2	0
"OTU24 "	2	3	1	0	1	0	0	1	0	0	0	1	0	0
"OTU25 "	1	3	0	0	0	1	0	0	0	0	1	4	1	0
"OTU26 "	2	1	0	0	0	0	0	0	1	0	0	0	1	3
"OTU27 "	1	0	3	0	0	7	0	0	0	3	0	0	0	0
"OTU28 "	0	2	0	1	0	0	0	2	1	1	0	0	5	2
"OTU29 "	0	4	0	1	0	0	0	3	2	2	0	0	0	0
"OTU30 "	1	0	1	0	0	0	0	0	0	1	0	1	0	0
"OTU31 "	2	0	0	3	1	0	5	1	0	1	9	0	1	3
"OTU32 "	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU33 "	1	0	0	0	0	1	1	0	0	0	0	2	2	0
"OTU34 "	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU35 "	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU36 "	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU37 "	0	1	0	0	1	0	0	0	0	2	0	2	0	0
"OTU38 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU39 "	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU40 "	1	0	0	0	0	0	0	0	0	0	0	1	0	2
"OTU41 "	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU42 "	1	0	0	2	4	0	0	2	0	0	0	0	0	1
"OTU43 "	0	1	0	0	0	4	0	0	0	0	0	0	0	0
"OTU44 "	0	1	1	0	0	2	1	0	0	0	1	0	1	0
"OTU45 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU46 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU47 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU48 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU49 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU50 "	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"OTU51 "	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"OTU52 "	0	0	3	3	2	0	0	1	0	1	0	0	0	4
"OTU53 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU54 "	0	0	2	0	0	0	0	0	0	3	0	0	1	0
"OTU55 "	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"OTU56 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU57 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU58 "	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU59 "	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"OTU60 "	0	0	3	0	1	0	0	0	1	0	0	1	1	0
"OTU61 "	0	1	0	0	0	0	0	0	0	0	8	0	0	0
"OTU62 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU63 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU64 "	0	0	1	0	0	3	0	0	0	0	2	0	0	0
"OTU65 "	0	0	2	0	1	1	0	0	0	0	0	0	0	0
"OTU66 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU67 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU68 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU69 "	0	0	0	2	0	0	0	0	0	0	0	0	0	1
"OTU70 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU71 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU72 "	0	0	0	6	0	0	0	0	0	0	0	0	0	0
"OTU73 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU74 "	0	0	0	2	0	0	0	0	0	4	0	0	0	0
"OTU75 "	0	0	0	1	0	2	3	0	0	0	3	3	0	0
"OTU76 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU77 "	0	0	0	2	0	0	0	0	0	0	0	0	0	1
"OTU78 "	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"OTU79 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU80 "	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"OTU81 "	0	0	0	1	1	0	0	3	0	0	0	0	0	0
"OTU82 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU83 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU84 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU85 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU86 "	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU87 "	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"OTU88 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU89 "	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"OTU90 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU91 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU92 "	0	0	0	4	0	0	0	0	2	0	0	0	1	0
"OTU93 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU94 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU95 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU96 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
